intent,test,train,validation
cancel_order,40,352,44
change_order,80,696,80
change_shipping_address,98,763,100
check_cancellation_fee,79,763,99
check_invoice,97,723,93
check_payment_methods,107,800,86
check_refund_policy,102,773,99
complaint,95,807,95
contact_customer_service,102,783,102
contact_human_agent,104,783,92
create_account,88,689,98
delete_account,95,714,92
delivery_options,72,521,62
delivery_period,104,785,101
edit_account,74,617,75
get_invoice,99,702,87
get_refund,99,730,82
newsletter_subscription,82,808,102
payment_issue,99,801,93
place_order,78,804,110
recover_password,106,790,92
registration_problems,90,794,108
review,106,780,107
set_up_shipping_address,97,801,92
switch_account,93,658,85
track_order,70,632,81
track_refund,70,561,61
