,precision,recall,f1-score,support
cancel_order,1.0,1.0,1.0,40.0
change_order,0.9876543209876543,1.0,0.9937888198757764,80.0
change_shipping_address,1.0,1.0,1.0,98.0
check_cancellation_fee,1.0,1.0,1.0,79.0
check_invoice,1.0,1.0,1.0,97.0
check_payment_methods,1.0,1.0,1.0,107.0
check_refund_policy,1.0,1.0,1.0,102.0
complaint,1.0,1.0,1.0,95.0
contact_customer_service,1.0,1.0,1.0,102.0
contact_human_agent,1.0,0.9903846153846154,0.9951690821256038,104.0
create_account,0.9887640449438202,1.0,0.9943502824858758,88.0
delete_account,0.9894736842105263,0.9894736842105263,0.9894736842105263,95.0
delivery_options,0.9863013698630136,1.0,0.993103448275862,72.0
delivery_period,1.0,0.9903846153846154,0.9951690821256038,104.0
edit_account,1.0,1.0,1.0,74.0
get_invoice,1.0,1.0,1.0,99.0
get_refund,1.0,1.0,1.0,99.0
newsletter_subscription,1.0,0.9878048780487805,0.9938650306748467,82.0
payment_issue,1.0,0.9797979797979798,0.9897959183673469,99.0
place_order,0.9873417721518988,1.0,0.9936305732484076,78.0
recover_password,1.0,1.0,1.0,106.0
registration_problems,0.9782608695652174,1.0,0.989010989010989,90.0
review,1.0,1.0,1.0,106.0
set_up_shipping_address,1.0,1.0,1.0,97.0
switch_account,1.0,1.0,1.0,93.0
track_order,1.0,0.9857142857142858,0.9928057553956835,70.0
track_refund,1.0,1.0,1.0,70.0
accuracy,0.9971145919208574,0.9971145919208574,0.9971145919208574,0.9971145919208574
macro avg,0.9969554096934122,0.9971688910570667,0.9970430616961674,2426.0
weighted avg,0.9971530984142305,0.9971145919208574,0.997115355664705,2426.0
