,precision,recall,f1-score,support
ar,1.0,0.998,0.998998998998999,500.0
bg,0.998003992015968,1.0,0.999000999000999,500.0
de,1.0,1.0,1.0,500.0
el,1.0,1.0,1.0,500.0
en,0.9920634920634921,1.0,0.9960159362549801,500.0
es,0.9959919839679359,0.994,0.994994994994995,500.0
fr,0.998003992015968,1.0,0.999000999000999,500.0
hi,1.0,0.968,0.983739837398374,500.0
it,0.992,0.992,0.992,500.0
ja,1.0,1.0,1.0,500.0
nl,0.9959919839679359,0.994,0.994994994994995,500.0
pl,0.9979879275653923,0.992,0.9949849548645938,500.0
pt,0.9860279441117764,0.988,0.987012987012987,500.0
ru,1.0,0.998,0.998998998998999,500.0
sw,0.9415094339622642,0.998,0.9689320388349515,500.0
th,1.0,0.994,0.9969909729187563,500.0
tr,0.9920634920634921,1.0,0.9960159362549801,500.0
ur,1.0,0.964,0.9816700610997964,500.0
vi,1.0,0.998,0.998998998998999,500.0
zh,0.9920634920634921,1.0,0.9960159362549801,500.0
accuracy,0.9939,0.9939,0.9939,0.9939
macro avg,0.9940853866898859,0.9939,0.9939183822941692,10000.0
weighted avg,0.9940853866898859,0.9939,0.9939183822941692,10000.0
